zeo_id,largest_included_sphere,largest_free_sphere,largest_included_sphere_along_free_sphere_path,Unitcell_volume:,Density:,ASA_A^2:,NASA_A^2:,num_1d_chan,num_2d_chan,num_3d_chan,num_chan
h8272140,5.78774,3.20584,4.87726,4680.09,1.87602,532.202,6.19467,2,0,0,2
h8272150,8.32709,3.60422,8.32709,5790.3,1.79201,637.83,51.5951,2,0,0,2
h8272151,4.46601,3.88102,4.09389,4284.83,1.86279,650.759,0.0,6,0,0,6
h8272153,4.66529,3.15892,4.64156,5664.36,1.83185,668.604,34.2384,4,0,0,4
h8272154,4.83228,2.88436,4.83228,4673.35,1.87872,255.292,298.411,0,0,0,0
h8272155,4.58841,3.11768,4.58841,3749.06,1.9161,248.2,77.2208,4,0,0,4
h8272158,4.32944,3.16824,4.32944,3491.62,1.82878,349.08,40.745,4,0,0,4
h8272160,4.98286,4.07065,4.98138,3859.1,1.86146,199.125,133.851,2,0,0,2
h8272163,5.61897,4.99145,5.61897,4419.99,1.80583,503.812,29.2852,2,0,0,2
h8272170,4.0114,3.21979,4.0114,3689.78,1.94689,303.011,29.8481,6,0,0,6
h8272190,4.51338,3.44846,4.51338,5380.22,1.9286,349.274,122.912,4,0,0,4
h8272192,5.62678,4.64249,5.48963,3792.26,1.99951,174.662,151.725,2,0,0,2
h8272197,3.95771,3.08735,3.95771,3365.94,1.89706,322.043,16.564,4,0,0,4
h8272199,4.89987,3.00756,4.89987,4291.67,1.85982,466.532,70.4583,2,0,0,2
h8272200,8.54305,8.20347,8.54305,6577.96,1.82011,563.425,27.7666,2,0,0,2
h8272204,6.77023,6.47541,6.77023,5766.81,1.79931,496.061,92.1089,2,0,0,2
h8272218,5.6951,4.98582,5.6951,4328.79,1.84387,356.976,43.6383,2,0,0,2
h8272221,4.7137,3.09639,4.7137,4236.44,1.88407,422.1,9.61527,4,0,0,4
h8272222,6.07984,4.86582,5.64548,5912.95,1.75484,671.397,20.6414,4,0,0,4
h8272226,4.98726,3.44417,4.98726,4993.12,1.91826,431.3,0.848243,4,0,0,4
h8272239,6.12047,5.091,6.12047,3726.71,1.8205,448.131,16.1326,2,0,0,2
h8272242,4.58331,3.02016,4.58331,5153.81,2.01332,137.175,133.047,2,0,0,2
h8272246,5.31657,3.35674,5.31657,5352.23,1.93868,455.537,31.1682,2,0,0,2
h8272249,4.62509,2.58098,4.62509,4502.66,1.94994,262.696,134.551,0,0,0,0
h8272255,4.44918,3.04667,4.4485,5256.88,1.97385,270.899,51.4703,2,0,0,2
h8272272,4.40149,3.08441,3.75754,3487.3,2.05992,357.981,0.0,4,0,0,4
h8272283,5.71412,4.92148,5.43569,4615.1,1.90243,235.573,92.0558,2,0,0,2
h8272286,6.10119,5.28901,6.09701,4343.86,1.83748,358.485,126.561,2,0,0,2
h8272307,5.49764,3.51818,5.49764,4398.84,1.81451,419.38,156.962,2,0,0,2
h8272311,3.97083,3.47599,3.94736,4470.1,1.96414,508.736,5.19701,2,0,0,2
h8272313,3.75865,3.25029,3.74121,3579.91,2.00663,275.077,5.70159,2,0,0,2
h8272321,4.13104,2.95401,3.57664,3558.95,2.01845,232.224,54.6006,0,0,0,0
h8272323,5.3386,4.26381,5.32363,4810.82,1.82504,233.521,261.422,2,0,0,2
h8272331,5.19151,3.04013,5.19151,3461.9,1.84448,299.122,45.8998,2,0,0,2
h8272336,6.05331,4.97255,6.05331,3272.71,1.9511,263.292,2.35511,2,0,0,2
h8272337,4.16258,3.34285,3.95517,3481.95,1.94847,222.488,43.6727,2,0,0,2
h8272346,5.14436,4.4921,5.14436,3717.87,1.93217,230.067,86.2926,2,0,0,2
h8272349,4.58904,3.55928,4.58904,3512.98,2.04486,205.483,40.3492,2,0,0,2
h8272353,6.99479,3.26001,6.95944,4333.8,1.93383,437.709,0.205272,2,0,0,2
h8272355,5.12672,3.70323,4.63066,5548.07,2.01411,214.588,328.016,2,0,0,2
h8272359,6.14698,5.04251,6.14013,5280.56,1.96499,229.397,68.6952,2,0,0,2
h8272360,5.32345,4.48991,5.32326,3353.1,1.90432,393.02,0.0,4,0,0,4
h8272361,5.37362,3.89077,4.41351,3236.6,1.84957,220.946,164.68,2,0,0,2
h8272374,5.76807,4.53566,5.69273,4713.33,1.86278,340.795,274.958,2,0,0,2
h8272382,6.063,3.50223,6.06051,4965.63,1.92888,399.179,34.0316,2,0,0,2
h8272387,5.03009,3.95597,4.85588,4772.43,1.83972,544.137,0.640362,6,0,0,6
h8272388,5.86837,5.04344,5.86837,4776.76,1.83805,342.039,109.676,2,0,0,2
h8272389,5.73543,4.77008,5.7289,4665.98,1.88169,347.644,10.6103,2,0,0,2
h8272397,5.05329,2.91335,5.05329,4742.45,1.85135,583.965,70.9621,0,0,0,0
h8272398,6.32301,5.09196,6.32301,5865.7,1.76897,805.557,0.0,2,0,0,2
h8272400,3.97228,3.1533,3.9658,3863.57,1.85931,405.359,34.8416,2,0,0,2
h8272403,6.448,5.67755,6.44761,4506.36,1.94834,388.258,15.8302,2,0,0,2
h8272406,4.97953,4.40579,4.9776,3698.64,1.94222,397.926,15.8443,4,0,0,4
h8272408,5.83493,4.96742,5.83128,4627.64,1.89728,296.164,78.5339,2,0,0,2
h8272409,4.47163,3.48539,4.47163,3143.8,2.03111,195.216,25.0877,2,0,0,2
h8272411,4.42518,3.06139,4.42518,3265.92,1.95516,388.081,9.95277,2,0,0,2
h8272412,4.74458,3.69775,4.74458,4476.65,1.96127,499.141,10.5206,0,2,0,2
h8272423,5.59895,4.94435,5.59895,3441.41,1.97143,359.459,2.95681,2,1,0,3
h8272424,4.42607,3.28618,4.42482,3218.79,1.98379,230.985,17.9853,4,0,0,4
h8272427,5.34686,3.14013,5.34686,4184.07,1.90765,227.311,200.548,2,0,0,2
h8272428,4.3858,2.60183,4.01204,3960.3,2.01544,132.836,205.356,0,0,0,0
h8272432,4.65855,2.94772,4.65849,3698.4,1.94235,265.467,62.4584,0,0,0,0
h8272436,5.99335,5.13703,5.99247,4229.41,1.8872,336.85,9.90047,2,0,0,2
h8272439,5.51771,3.38907,5.51771,3823.66,1.87872,365.714,117.11,2,0,0,2
h8272446,5.60093,4.5736,5.60093,4533.4,1.93672,214.088,74.5865,2,0,0,2
h8272456,6.07414,4.56708,6.07414,5767.05,1.79923,589.165,12.0488,2,0,0,2
h8272464,4.28163,2.95238,3.7472,3478.9,2.0649,281.764,0.735942,0,0,0,0
h8272465,6.12315,3.34829,4.45203,3687.05,1.94833,106.915,219.507,2,0,0,2
h8272483,5.97843,3.22452,5.67048,3354.78,1.90337,304.343,84.9268,2,0,0,2
h8272495,4.69569,3.49235,4.41052,3366.37,1.89682,363.2,0.0,2,0,0,2
h8272503,5.32078,4.61489,5.30982,5665.71,1.83142,712.709,61.0284,4,0,0,4
h8272516,4.03215,2.79251,3.85433,3020.38,2.1141,240.712,0.752663,0,0,0,0
h8272524,4.86604,3.18973,4.84068,4641.18,1.89174,276.173,206.464,2,0,0,2
h8272534,5.1907,3.00031,4.93726,5292.43,1.96059,484.601,47.6365,2,0,0,2
h8272536,5.48959,2.99005,4.97126,5102.26,2.1901,248.432,50.4835,0,0,0,0
h8272538,6.24756,4.59654,6.24734,5752.6,1.80375,643.448,62.4118,2,0,0,2
h8272542,4.16637,3.22409,4.16637,3745.49,1.91793,142.896,189.354,2,0,0,2
h8272555,4.10649,2.86499,4.10649,3733.46,1.9241,208.734,106.823,0,0,0,0
h8272568,4.7569,4.03919,4.75429,3711.94,1.93526,362.581,65.9657,2,0,0,2
h8272569,7.44791,4.64699,7.44791,7747.67,1.64834,1214.44,28.1405,0,1,0,1
h8272571,8.50884,6.22323,8.50005,6711.1,1.784,770.049,118.361,2,0,0,2
h8272575,6.90946,5.69463,6.90946,4454.19,1.61277,570.191,126.06,0,1,0,1
h8272576,4.19601,3.01438,4.19601,2616.63,1.83024,357.007,16.2099,0,2,0,2
h8272578,6.06533,3.79928,5.42088,6189.79,1.8053,840.267,43.5092,0,2,0,2
h8272579,3.96804,3.20992,3.69114,4208.87,1.89641,356.449,122.638,2,1,0,3
h8272582,3.90906,3.06728,3.90906,3037.74,1.83927,325.33,47.0462,0,2,0,2
h8272583,3.81895,3.06782,3.60834,3415.37,1.86961,318.907,60.6973,4,0,0,4
h8272586,4.15434,3.29919,4.15434,3849.52,1.86609,603.658,6.47821,0,2,0,2
h8272587,4.09095,3.2072,4.09095,4222.18,1.89043,489.742,108.443,0,2,0,2
h8272588,3.9718,3.08866,3.96698,4154.74,1.92112,351.303,43.0605,0,2,0,2
h8272590,4.37598,3.0343,4.35957,3638.4,1.97438,301.497,43.0851,0,2,0,2
h8272592,7.63198,5.64704,7.63198,5708.25,1.53811,854.458,6.30958,0,1,0,1
h8272596,7.21048,2.89158,7.21048,5337.33,1.645,877.0,0.0,0,0,0,0
h8272601,5.88401,4.47673,5.88401,3818.25,1.88138,362.245,76.8252,2,0,0,2
h8272606,6.67392,4.97616,6.67392,4802.46,1.82821,453.908,68.2348,2,0,0,2
h8272609,6.08596,3.455,6.0831,5953.97,1.87681,570.736,175.247,2,0,0,2
h8272611,6.36991,4.84984,6.36991,3942.59,1.82204,459.752,1.93152,2,0,0,2
h8272616,5.01694,4.41956,5.01694,3727.9,1.92697,409.847,13.0907,4,0,0,4
h8272617,4.45623,3.47869,4.45623,3486.88,1.83126,527.042,0.0,2,0,0,2
h8272621,4.97001,4.48494,4.97001,5866.41,1.76876,723.476,130.865,2,0,0,2
h8272622,5.72451,4.69666,5.72451,4937.58,1.77818,649.923,52.797,6,0,0,6
h8272623,5.33977,4.38737,5.33977,5018.47,2.06762,304.447,85.9948,2,0,0,2
h8272631,5.64624,3.24841,5.64543,5824.43,1.91855,355.487,311.262,2,0,0,2
h8272632,7.64612,4.3273,7.64612,4723.21,1.85889,649.457,0.0,0,2,0,2
h8272633,5.78946,2.95829,5.78946,6150.83,1.81674,779.03,57.6608,0,0,0,0
h8272640,4.06714,3.42998,4.06714,4507.57,1.94782,521.053,14.2977,0,1,0,1
h8272655,8.30935,7.95448,8.30935,6902.69,1.50322,1104.03,0.615815,2,0,0,2
h8272658,7.17703,6.22902,7.17703,4591.68,1.73831,382.195,178.044,2,0,0,2
h8272663,5.26335,3.28195,5.26335,5437.92,1.76135,744.489,86.3195,6,0,0,6
h8272667,5.42069,2.76976,5.42069,4756.95,1.67791,1033.78,0.0684239,0,0,0,0
h8272668,5.44057,2.82353,5.44057,4254.63,1.68841,943.689,0.0,0,0,0,0
h8272677,7.71107,6.722,7.71107,6653.68,1.7994,558.089,92.5163,2,0,0,2
h8272678,4.58324,2.95666,3.32542,3100.08,2.05975,136.947,85.3381,0,0,0,0
h8272680,5.84887,4.35088,5.84887,5718.57,1.81449,584.254,44.8753,4,0,0,4
h8272685,10.40749,5.53252,10.40749,6829.59,1.63618,889.127,142.05,2,0,0,2
h8272690,5.63149,3.54027,5.63149,5554.48,1.72439,1089.32,0.0,4,0,0,4
h8272694,5.32149,3.95537,5.32149,4513.05,1.76859,483.651,88.4826,4,0,0,4
h8272698,4.94404,3.26908,4.03795,5337.79,1.79439,788.519,2.24281,4,0,0,4
